ID,name,releasedate,Asynchronous Multiplayer,Co-op,Co-op Campaign,Competitive,Local Co-Op,Local Multiplayer,Multiplayer,Online Co-Op,Party-Based RPG,PvE,PvP,Replay Value,Singleplayer,free_to_play,Casual,RPG,Massively_Multiplayer
486480,Tales of Destruction,14-Jul-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262410,World of Guns: Gun Disassembly,21-May-14,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
223470,POSTAL 2,02-Nov-12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
12110,Grand Theft Auto: Vice City,06-Jan-11,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
323470,DRAGON BALL XENOVERSE,26-Feb-15,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
17450,Dragon Age: Origins,05-Nov-09,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
512020,Box Maze,03-Mar-17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
375230,"Warhammer 40,000: Eternal Crusade",16-Mar-17,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1
239030,"Papers, Please",08-Aug-13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
397340,SimplePlanes,17-Dec-15,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
247080,Crypt of the NecroDancer,23-Apr-15,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
524660,RutonyChat,19-Sep-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388410,Darksiders II Deathinitive Edition,05-Nov-15,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
239160,Thief,27-Feb-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
376570,WildStar,09-Jun-16,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1
373930,Sudden Strike 4,11-Aug-17,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
39550,SpellForce 2 - Anniversary Edition,29-Oct-09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
244160,Homeworld Remastered Collection,25-Feb-15,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
353640,Train Valley,16-Sep-15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
292120,FINAL FANTASY XIII,09-Oct-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
351970,Tales of Zestiria,19-Oct-15,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
243470,Watch_Dogs,26-May-14,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
662320,Metro Conflict: The Origin,13-Dec-17,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1
15620,"Warhammer 40,000: Dawn of War II",18-Feb-09,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
204100,Max Payne 3,31-May-12,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
331670,The Jackbox Party Pack,26-Nov-14,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
542550,Plankton,27-Oct-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17500,Zombie Panic! Source,03-Oct-08,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
578330,LEGO� City Undercover,04-Apr-17,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
38400,Fallout,01-Nov-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
445190,Expeditions: Viking,27-Apr-17,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
